,chembl_id,value,smiles
48,CHEMBL1136,50.0,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C
49,CHEMBL1163006,80.0,Cc1c[nH]c2c(N/C(N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)=C(/C#N)C(=O)N(C)C)cccc12
50,CHEMBL1168,89.5,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
51,CHEMBL1170455,81.0,CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
52,CHEMBL1171278,93.0,COC(=O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)cc1
53,CHEMBL1171678,92.0,COC(=O)c1ccc(-c2cccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c2)cc1
54,CHEMBL1171837,99.8,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
55,CHEMBL1185,25.0,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
56,CHEMBL1191,93.5,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
57,CHEMBL1194,55.0,CCCNC(C)C(=O)Nc1ccccc1C
58,CHEMBL12,94.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
59,CHEMBL1200340,42.0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O
60,CHEMBL1200343,60.0,CC(C)(C)N.CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
61,CHEMBL1201335,29.0,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
62,CHEMBL1201368,10.0,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O
63,CHEMBL1201387,79.5,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
64,CHEMBL1230065,81.5,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C
65,CHEMBL1232769,4.0,C[C@H](CS(C)(=O)=O)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1
66,CHEMBL1254025,71.0,CO/N=C1/C[C@@H](CO)N(C(=O)c2ccc(-c3ccccc3C)cc2)C1
67,CHEMBL1259059,83.5,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
68,CHEMBL126,31.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
69,CHEMBL1269728,68.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cccs1
70,CHEMBL1269729,78.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccsc1
71,CHEMBL1270230,64.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1
72,CHEMBL1270620,68.0,NC(=O)c1c(-c2ccccc2)[nH]c(-c2ccnc(N)n2)c1I
73,CHEMBL1270795,99.4,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1
74,CHEMBL1270924,94.0,CCn1c(-c2ccnc(N)n2)cc(C(N)=O)c1-c1ccccc1
75,CHEMBL1271333,77.0,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc2sccc2c1
76,CHEMBL1271334,68.0,NC(=O)c1cc(-c2nc(N)ncc2F)[nH]c1-c1ccccc1
77,CHEMBL1272,99.1,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
78,CHEMBL1274,70.3,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
79,CHEMBL1276265,99.0,O=C1c2ccc(Cl)cc2-n2c1nc1ccccc1c2=O
80,CHEMBL1276310,85.0,CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21
81,CHEMBL1288231,71.1,Cl.Cn1c(=O)[nH]c2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3)c2c1=O
82,CHEMBL1288261,95.1,Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2c1c(=O)n(C)c(=O)n2C.Cl
83,CHEMBL1289083,26.0,CCO[C@H]1CN([C@H]2CC[C@@](O)(c3ccccc3)CC2)C[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1
84,CHEMBL1290636,0.5,CCO[C@H]1CN([C@H]2CC[C@@H](c3ccccc3)CC2)C[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1
85,CHEMBL1294,71.1,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
86,CHEMBL13209,76.7,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
87,CHEMBL134561,93.0,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2
88,CHEMBL1359,84.0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
89,CHEMBL1370,86.5,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
90,CHEMBL139,99.76,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
91,CHEMBL1397,98.0,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
92,CHEMBL1412368,90.0,O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1
93,CHEMBL1422,47.0,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
94,CHEMBL1436,40.1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
95,CHEMBL1449843,98.7,CC1=C(C(N)=O)C(c2ccc(C(C)C)cc2)n2nc(SCc3ccccc3)nc2N1
96,CHEMBL1450,93.25,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
97,CHEMBL1464,98.5,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
98,CHEMBL1477,99.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
99,CHEMBL1480,99.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
100,CHEMBL1484,95.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
101,CHEMBL1513,98.0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
102,CHEMBL1541,65.0,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1
103,CHEMBL1545,96.25,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O
104,CHEMBL1569487,99.0,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
105,CHEMBL157101,95.0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
106,CHEMBL15770,93.0,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
107,CHEMBL158,46.8,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
108,CHEMBL1589,75.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
109,CHEMBL160,99.0,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
110,CHEMBL1602168,93.7,CCOC(=O)C1=C(O)/C(=C\c2cc(C)n(-c3ccc(F)cc3)c2C)N=C1C
111,CHEMBL161,79.9,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1
112,CHEMBL1615278,94.8,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
113,CHEMBL1630216,99.0,O=C(CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)Nc1ccc(C(=O)O)cc1Cl
114,CHEMBL1630575,96.0,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O
115,CHEMBL1652606,16.0,Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1
116,CHEMBL1660,97.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
117,CHEMBL1667967,6.0,O=c1[nH]ccc2cc(O[C@H]3CCCNC3)ccc12
118,CHEMBL1671936,85.0,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F
119,CHEMBL1672,25.0,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1
120,CHEMBL1683351,86.6,N#Cc1ccc(N2CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)cc1
121,CHEMBL1683358,91.0,Cc1ccc(C2CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)cc1
122,CHEMBL1683375,79.0,O=C(O)c1cc(CN2CCC(n3cnc4ccccc43)CC2)c2ccccn2c1=O
123,CHEMBL1683377,82.0,O=C(O)c1cc(CN2CCC(c3nc4ccccc4[nH]3)CC2)c2ccccn2c1=O
124,CHEMBL1683383,98.0,O=C(O)c1cc(CN2CCc3cc(Cl)ccc3C2)c2ccccn2c1=O
125,CHEMBL1683402,96.0,O=C(O)c1cc(CN2CCc3ccccc3C2c2ccncc2)c2ccccn2c1=O
126,CHEMBL1688364,50.0,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3F)c3c(N)ncnn32)C1.Cl
127,CHEMBL1688530,85.7,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
